wl,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118
397.369995,0.065270831,0.06260772,0.064206809,0.067449594,0.070176024,0.068632815,0.068323293,0.067205806,0.067065395,0.103891093,0.109439092,0.115912792,0.169686834,0.193544454,0.133221601,0.133115339,0.133524862,0.133256574,0.132414591,0.136370444,0.134857432,0.134263365,0.13423726,0.134463565,0.136086975,0.134804721,0.136217028,0.134397807,0.135776618,0.135344143,0.134980822,0.136021217,0.136634508,0.13637576,0.135476863,0.136904619,0.134567025,0.137362877,0.137310962,0.135154644,0.136557198,0.136495162,0.135702891,0.136946893,0.13788891,0.136246054,0.136854756,0.137079281,0.137818088,0.137585283,0.136111677,0.139799399,0.140383829,0.066937465,0.082680839,0.081120569,0.086295115,0.092122253,0.097212625,0.096647575,0.096552792,0.0960055,0.092006453,0.102758208,0.098788697,0.099197645,0.095623233,0.091475695,0.100916813,0.099924777,0.005921,0.00226,0.021067,0.004147,0.035677,0.014979,0,0.061194,0,0.026909,0,0,0.028774,0.067481,0,0,0.001593,0.010093,0,0.007832,0.072613,0.06902,0.018971,0.055962,0.02902,0.006456,0.046275,0.074152,0.002005,0.008111,0.000709,0.116732,0.040086,0.055837,0.010604,0,0.029534,0.143928,0,0.08200528,0.08200528,0.124612416,0.07632289,0.069574238,0.048378968,0.144155697,0.074944734,0.177684247,0.04722554
402.380005,0.066482492,0.063816382,0.065394461,0.068738305,0.071516382,0.069892439,0.06958214,0.068517671,0.068454524,0.105188416,0.110988416,0.117476446,0.173638115,0.197901265,0.135348642,0.135258238,0.135861411,0.135441042,0.134497783,0.138777405,0.137062732,0.136384267,0.136525757,0.13655939,0.13848298,0.137025756,0.138325757,0.136851116,0.138005244,0.137535706,0.137195887,0.138329781,0.138968648,0.138560586,0.13763653,0.139059859,0.137218774,0.139758921,0.139933443,0.137368535,0.138855014,0.139101224,0.138087964,0.139586298,0.140304189,0.138440432,0.139415808,0.139255623,0.140296852,0.139710477,0.1387612,0.142380249,0.142896852,0.068624658,0.084689948,0.082676426,0.088143497,0.094174426,0.099311628,0.098893731,0.098680349,0.09822621,0.094049539,0.1049704,0.101152504,0.10138035,0.097711628,0.093653917,0.103173011,0.102133076,0.009639507,0.004231758,0.023355041,0.006135364,0.039409582,0.020287778,0.000520907,0.063284214,0,0.028065291,0,0,0.031104041,0.069712339,0,0,0.002473869,0.013161702,0,0.010414168,0.071654402,0.070338191,0.022739428,0.057338406,0.032132645,0.008802785,0.048504465,0.074891214,0.005816733,0.006409556,0.002145742,0.119476686,0.040762629,0.057520826,0.014232294,0,0.03327217,0.148180847,0,0.083970275,0.083970275,0.12691787,0.077723149,0.071237178,0.049273355,0.146879909,0.07642569,0.182756327,0.048332395
407.380005,0.068081232,0.065230567,0.066767321,0.070188682,0.073029132,0.071510537,0.071001201,0.070222738,0.070146968,0.106870641,0.112746411,0.119338963,0.178030902,0.202336859,0.138080469,0.137898128,0.138413795,0.138190685,0.137215404,0.141219251,0.13947317,0.13887953,0.139149674,0.139142216,0.140879355,0.139568762,0.140914349,0.139303023,0.140490999,0.140125997,0.139690122,0.140831453,0.141404462,0.141278096,0.140097018,0.141558272,0.139833445,0.14205495,0.142655306,0.140225122,0.141547363,0.141732018,0.140590504,0.142248234,0.14306645,0.140898624,0.142050542,0.142032006,0.143009216,0.142196137,0.141598066,0.145068379,0.145533445,0.070374281,0.086655363,0.084437147,0.090208338,0.096218931,0.10149012,0.101030021,0.100924565,0.100489565,0.096136034,0.107248234,0.103330018,0.103723128,0.099849669,0.095752256,0.105465893,0.104629317,0.013559932,0.008031455,0.026081726,0.010451004,0.045664418,0.026273266,0.002775834,0.066579894,0,0.029931747,0,0,0.036519627,0.07286863,0,0,0.004050396,0.018324432,0,0.015812899,0.073634698,0.074127005,0.025218135,0.060657551,0.035006531,0.015656078,0.053145089,0.082057209,0.00880512,0.003194475,0.00441406,0.12452442,0.044020423,0.060973248,0.017978091,0,0.037685676,0.154106156,0,0.086139667,0.086139667,0.129348773,0.078802977,0.073131125,0.050289252,0.149925547,0.078140404,0.187429282,0.049514617
412.390015,0.069657571,0.066716304,0.068379265,0.071722361,0.074634678,0.073065746,0.072662718,0.071856371,0.071734678,0.108490381,0.114565659,0.121164458,0.1826027,0.207252142,0.140516263,0.140457531,0.140950359,0.140611209,0.139907172,0.143964877,0.142207342,0.141508171,0.141873167,0.141675279,0.143615434,0.142237136,0.143486485,0.142112406,0.143198888,0.142708176,0.142271138,0.143612406,0.144260934,0.143877194,0.142641071,0.144101001,0.142715348,0.144735014,0.14563281,0.142760557,0.144198795,0.144537043,0.143298795,0.145100002,0.145686479,0.143990631,0.145177108,0.144614233,0.146066904,0.144880426,0.144627752,0.148143095,0.148418381,0.071984413,0.088424393,0.086293412,0.092079888,0.098236505,0.103643764,0.103144679,0.103043764,0.102764255,0.098321159,0.109473543,0.105516929,0.105842562,0.102002495,0.097720044,0.107810582,0.106791918,0.016868357,0.010461594,0.032003986,0.013734728,0.049106364,0.030952467,0.003855044,0.072831782,0,0.032506022,0,0,0.041562201,0.075275359,0,0,0.006499061,0.023368275,0,0.02014661,0.074983837,0.078163669,0.028352128,0.061973597,0.037956653,0.019857074,0.05584549,0.087549411,0.009685641,0.008096219,0.007186498,0.125297026,0.048404498,0.061833859,0.021944466,0,0.041059986,0.161595856,0,0.088462466,0.088462466,0.13214604,0.080027654,0.075195142,0.051410961,0.153143826,0.079987297,0.192389587,0.050931678
417.399994,0.071466501,0.068368216,0.070107951,0.073520918,0.076620216,0.074955973,0.074466348,0.073743708,0.073625754,0.110389996,0.116512788,0.123266501,0.187405005,0.212288075,0.143613836,0.143473247,0.144102456,0.143697768,0.142820691,0.147050482,0.145173269,0.14454406,0.144837649,0.144678236,0.146661006,0.145296913,0.14646755,0.145062015,0.14621558,0.145766698,0.145284648,0.146544055,0.147156318,0.14703268,0.145773972,0.147178808,0.14577255,0.147779818,0.148709311,0.145984652,0.147227108,0.147549901,0.146385663,0.148072544,0.14877997,0.146703443,0.148227118,0.147733531,0.149062015,0.14783195,0.147697926,0.151279971,0.151485668,0.073842852,0.090637619,0.08845527,0.094583623,0.100720392,0.106155292,0.105768411,0.105613841,0.10542696,0.100801578,0.112096895,0.108196039,0.108648743,0.104496742,0.100402301,0.110537489,0.109550608,0.018984463,0.013745275,0.033576403,0.018096741,0.053512208,0.035647855,0.005420837,0.07797192,0,0.034511626,0,0,0.045427626,0.07708303,0.000373677,0,0.007314981,0.029191228,0,0.025766959,0.07646181,0.080939207,0.030092791,0.064325466,0.041226012,0.024695892,0.06021239,0.095255767,0.010283244,0.005872641,0.008819096,0.129018969,0.051367666,0.064968238,0.024766969,0.000804645,0.04369618,0.170085682,0,0.090793909,0.090793909,0.135276598,0.08144239,0.077346279,0.052581577,0.156380006,0.081954919,0.197312089,0.051963578
422.410004,0.073300716,0.070163283,0.071825218,0.075316866,0.078620082,0.076916866,0.076295582,0.075729796,0.075536864,0.112449797,0.118687231,0.125493669,0.192733123,0.217989928,0.146602697,0.146605347,0.147167277,0.14674527,0.14600076,0.150126631,0.148172416,0.147500133,0.147982701,0.147734987,0.149650509,0.148300133,0.14953307,0.148175632,0.149254348,0.148754343,0.148278849,0.149647292,0.150237567,0.150078849,0.148843412,0.15027378,0.149081411,0.15093048,0.152218847,0.149057563,0.150413066,0.15097113,0.149514265,0.151484067,0.152020132,0.150028562,0.151656276,0.150895631,0.152504,0.150978849,0.151174352,0.154718842,0.154991129,0.075839449,0.093053603,0.090554234,0.096964622,0.103223967,0.108774333,0.108484616,0.108366549,0.10814655,0.103264617,0.114959483,0.110902051,0.111324634,0.107118833,0.1027614,0.113325266,0.112459483,0.022873792,0.016208129,0.035548723,0.022248993,0.057724754,0.042089963,0.009168443,0.084270776,0,0.03727776,0,0,0.049785975,0.08095018,0.002010481,0,0.010727651,0.033760787,0,0.032622872,0.079336593,0.083651161,0.033498819,0.067510823,0.044378895,0.031199932,0.063729479,0.103779987,0.014281641,0.002402851,0.012044718,0.132077677,0.055887959,0.068514678,0.031463032,0.005458183,0.047034098,0.178886316,0,0.093202742,0.093202742,0.138366703,0.082932798,0.079664933,0.05383913,0.159860149,0.084074702,0.20249638,0.053370592
427.410004,0.075460258,0.072341649,0.07400051,0.077619034,0.081031613,0.079277811,0.078600953,0.078101397,0.07785973,0.114783316,0.121083316,0.128149165,0.198549083,0.224179206,0.150264794,0.150163223,0.150934575,0.150482338,0.14954768,0.153871184,0.151870738,0.151300952,0.151682871,0.151352662,0.153465761,0.152082866,0.153288378,0.151906456,0.153024533,0.152529069,0.152046704,0.153470739,0.154096418,0.153905481,0.152539997,0.153941497,0.152882343,0.154634492,0.156023569,0.15301851,0.154188378,0.154693353,0.1533668,0.155216939,0.155918505,0.153775272,0.155464789,0.154683314,0.156512553,0.154800952,0.155005931,0.158600422,0.158792825,0.078466799,0.0961578,0.093445226,0.100180945,0.106440165,0.112122527,0.111911518,0.111829155,0.111706013,0.10663466,0.118452741,0.114452213,0.114964874,0.110440165,0.105963307,0.11696479,0.115952741,0.025514251,0.018137892,0.042304451,0.027107308,0.061934545,0.047406841,0.011497446,0.09192819,0,0.039990911,0.000239325,0,0.057515981,0.083758573,0.005803671,0.00057715,0.012613355,0.039832325,0,0.03872165,0.081062262,0.088471505,0.035465598,0.068607994,0.049792418,0.038634601,0.066368673,0.110998911,0.013233759,0.004236347,0.014041855,0.134614506,0.059298918,0.073004455,0.036614363,0.010338092,0.050163661,0.18828537,0,0.095662632,0.095662632,0.141561525,0.084387855,0.082136857,0.055172807,0.163595384,0.086391054,0.208145583,0.054994492
432.420013,0.078080442,0.074615842,0.076466369,0.080211767,0.083825048,0.081918336,0.081259384,0.080815052,0.080528334,0.117298487,0.123752673,0.130921625,0.205040831,0.231156595,0.15423086,0.154188746,0.154971766,0.154451917,0.15363086,0.157966265,0.155962181,0.155468481,0.155813083,0.155468897,0.157520859,0.156096522,0.157406526,0.155927852,0.157151917,0.156609799,0.156160704,0.157551907,0.158238637,0.158026367,0.156610605,0.158035623,0.15697505,0.158676258,0.16027426,0.157155201,0.158351131,0.158850708,0.157548623,0.159450708,0.160099802,0.158046631,0.159629651,0.158855201,0.160767688,0.159164403,0.159298597,0.162998323,0.162985045,0.081090983,0.099313428,0.096791582,0.103350529,0.109881166,0.115719204,0.115450114,0.115360109,0.115329056,0.110122488,0.122029056,0.117984451,0.118542337,0.114042752,0.109370378,0.120745621,0.119642337,0.030003637,0.019895956,0.044885764,0.031421929,0.064108131,0.054084715,0.016155105,0.097509831,0,0.043462817,0.000107576,0,0.06145123,0.087363943,0.00886239,0.007371836,0.015828136,0.045974633,0,0.045236894,0.084084261,0.090567229,0.039804538,0.069538548,0.053282337,0.045284839,0.068867116,0.121977097,0.015678467,0.006456353,0.018006439,0.136939599,0.065899953,0.075383099,0.042576203,0.017846469,0.05375505,0.197732919,0,0.098295481,0.098295481,0.14482332,0.085841797,0.084875332,0.056667158,0.167738436,0.088976362,0.214706427,0.057174133
437.429993,0.080539668,0.077087297,0.078856886,0.082688463,0.086352868,0.084541326,0.083739669,0.083442492,0.083147682,0.119805729,0.126424111,0.133713738,0.211345874,0.237819502,0.158245387,0.158145336,0.159040149,0.15854136,0.157686217,0.162129825,0.160035004,0.159404502,0.159876908,0.159409785,0.161612556,0.160158582,0.161368951,0.1600482,0.161182138,0.16062293,0.160150518,0.16162298,0.162236124,0.162122927,0.160563714,0.162187924,0.161290154,0.162717738,0.164612602,0.161276959,0.162400528,0.163117794,0.161605764,0.163758628,0.164330989,0.162167836,0.163936175,0.162999414,0.16501896,0.163128117,0.163748254,0.167324142,0.167300572,0.083886149,0.102528149,0.099968933,0.106725733,0.113430971,0.119313806,0.119120597,0.119008569,0.11913903,0.113690187,0.125875798,0.121762598,0.122344217,0.117608569,0.112965453,0.124616577,0.123521817,0.035345243,0.023919373,0.04769052,0.036894547,0.069822909,0.060430719,0.020021921,0.105439529,9.26E-06,0.046388559,0.003414657,0,0.066749894,0.090281328,0.013544278,0.012886557,0.018866434,0.051972376,0,0.052178507,0.086441882,0.093241111,0.04382743,0.071965296,0.05792629,0.052016449,0.074256598,0.130367764,0.019135558,0.010265726,0.021146622,0.141161405,0.070206583,0.080299376,0.048301884,0.023848262,0.058198399,0.207455726,0,0.100728361,0.100728361,0.148181265,0.08720808,0.087463452,0.058076965,0.171609885,0.091418,0.221638891,0.059633578
442.440002,0.082970443,0.079325471,0.081204822,0.085132422,0.088984338,0.086939533,0.086128947,0.08596018,0.085591092,0.122091092,0.128866967,0.136249793,0.217358649,0.244238165,0.162050549,0.16206444,0.162923109,0.162395321,0.161443762,0.166061136,0.163847234,0.163247238,0.163809222,0.163243762,0.165464585,0.163964576,0.165250713,0.163874834,0.165064574,0.164547233,0.164026589,0.165550718,0.166202432,0.166092042,0.164522949,0.165954182,0.165309223,0.166605742,0.168785295,0.165292049,0.166450709,0.167205944,0.165612698,0.167768084,0.168426589,0.16608529,0.168109419,0.167012733,0.169226589,0.167088574,0.16784727,0.171492049,0.171426586,0.086473918,0.105553466,0.102794764,0.109974312,0.116708856,0.122712332,0.122564247,0.122488372,0.122633178,0.117012332,0.129409021,0.125291847,0.125822911,0.121046876,0.116122752,0.128195158,0.127095156,0.037760724,0.025320932,0.053023543,0.040945063,0.07346536,0.065701391,0.021959304,0.112910994,0.000110822,0.048847071,0.006890331,0,0.074837139,0.093721266,0.016076193,0.019322528,0.020865271,0.056810291,0,0.057551694,0.088579979,0.099399391,0.045356523,0.073412527,0.062898392,0.062040823,0.07695514,0.138640023,0.019853808,0.014408377,0.02472164,0.142854646,0.074250973,0.083587556,0.052776723,0.029359845,0.06104869,0.218846123,0,0.103125196,0.103125196,0.151532778,0.088582304,0.09006309,0.059504121,0.175443557,0.093835678,0.228767256,0.062125466
